slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
3xpl,,!offer:3xpl,"[""[Explore](https://3xpl.com/avalanche)""]",mainnet,,,,,,,,,,,
arkham,,!offer:arkham,"[""[Explore](https://intel.arkm.com/explorer/entity/avalanche)""]",mainnet,,,,,,,,,,,
avalanche-explorer,Avalanche,,"[""[Explore](https://explorer.avax.network/en/)""]",mainnet,Custom,"[""Transactions"",""Blocks"",""Tokens"",""Gas"",""Addresses""]","[""Multi-chain & Subnet support""]",FALSE,"[""REST API""]","[""TypeScript""]","[""Tx hashes"",""Blocks ID"",""Tokens"",""Gas"",""Addresses""]",TRUE,FALSE,Free,
avascan-mainnet,Avalanche,,"[""[Explore](https://avascan.info/)""]",mainnet,Custom,"[""Blocks"",""Transactions"",""Addresses""]","[""Multi-chain support"",""Real-time data""]",FALSE,"[""REST API""]","[""TypeScript""]","[""Tx hashes"",""Tokens"",""Blocks"",""Addresses""]",TRUE,TRUE,Free,
avascan-testnet,Avalanche,,"[""[Explore](https://testnet.avascan.info/)""]",testnet,Custom,"[""Blocks"",""Transactions"",""Addresses""]","[""Multi-chain support"",""Real-time data""]",FALSE,"[""REST API""]","[""TypeScript""]","[""Tx hashes"",""Tokens"",""Blocks"",""Addresses""]",TRUE,TRUE,Free,
bitquery,,!offer:bitquery,"[""[Explore](https://explorer.bitquery.io/avalanche)""]",mainnet,,,,,,,,,,,
blockchair,,!offer:blockchair,"[""[Explore](https://blockchair.com/avalanche)""]",mainnet,,,,,,,,,,,
dex-guru,,!offer:dex-guru,"[""[Explore](https://docs.dex.guru/data/supported-chains)""]",mainnet,,,,,,,,,,,
jiffyscan-developer,,!offer:jiffyscan-developer,"[""[Explore](https://jiffyscan.xyz/pricing)""]",mainnet,,,,,,,,,,,
jiffyscan-professional,,!offer:jiffyscan-professional,"[""[Explore](https://jiffyscan.xyz/pricing)""]",mainnet,,,,,,,,,,,
jiffyscan-starter,,!offer:jiffyscan-starter,"[""[Explore](https://jiffyscan.xyz/pricing)""]",mainnet,,,,,,,,,,,
oklink,,!offer:oklink,"[""[Explore](https://www.oklink.com/avalanche)""]",mainnet,,,,,,,,,,,
okx,,!offer:okx,"[""[Explore](https://web3.okx.com/explorer/avalanche)""]",mainnet,,,,,,,,,,,
routescan,,!offer:routescan,,mainnet,,,,,,,,,,,
tokenterminal-explorer,,!offer:tokenterminal-explorer,"[""[Explore](https://tokenterminal.com/explorer/projects/avalanche)""]",mainnet,,,,,,,,,,,
