slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
arkham-mainnet,,!offer:arkham,,mainnet,,,,,,,,,,,
blockscout-sepolia,,!offer:blockscout,"[""[Explore](https://base-sepolia.blockscout.com/)""]",sepolia,,,,,,,,,,,
dexguru-mainnet,Dex.Guru,,"[""[Explore](https://base.dex.guru/)"",""[Docs](https://dexguru.readme.io/docs/getting-started)""]",mainnet,Custom,"[""Transactions"",""Blocks"",""Account balances""]","[""Verify contracts"",""Debug transactions"",""Interactive trace""]",FALSE,"[""REST""]",,"[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free/$199/mo,
etherscan-sepolia,,!offer:etherscan,"[""[Explore](https://sepolia.basescan.org/)""]",sepolia,,,,,,,,,,,
jiffyscan-developer,,!offer:jiffyscan-developer,"[""[Explore](https://jiffyscan.xyz/pricing)""]",mainnet,,,,,,,,,,,
jiffyscan-professional,,!offer:jiffyscan-professional,"[""[Explore](https://jiffyscan.xyz/pricing)""]",mainnet,,,,,,,,,,,
jiffyscan-starter,,!offer:jiffyscan-starter,"[""[Explore](https://jiffyscan.xyz/pricing)""]",mainnet,,,,,,,,,,,
oklink-mainnet,,!offer:oklink,"[""[Explore](https://www.oklink.com/base)""]",mainnet,,,,,,,,,,,
tenderly-explorer-mainnet,,!offer:tenderly-explorer,,mainnet,,,,,,,,,,,
tokenterminal-explorer,,!offer:tokenterminal-explorer,"[""[Explore](https://tokenterminal.com/explorer/projects/base)""]",mainnet,,,,,,,,,,,
