slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
3xpl,,!offer:3xpl,,mainnet,,,,,,,,,,,
arkham,,!offer:arkham,,mainnet,,,,,,,,,,,
bitquery,,!offer:bitquery,,mainnet,,,,,,,,,,,
blockchair,,!offer:blockchair,,mainnet,,,,,,,,,,,
bscscan-mainnet,Etherscan,,"[""[Explore](https://bscscan.com)"",""[Docs](https://docs.bscscan.com/)""]",mainnet,Etherscan,"[""Transactions"",""Tokens"",""Blocks"",""Contracts"",""Gas""]","[""Verified Contracts"",""Token Approvals"",""API Access"",""Bytecode to Opcode""]",TRUE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block"",""Token"",""Contract""]",TRUE,TRUE,Free,
bscscan-testnet,Etherscan,,"[""[Explore](https://testnet.bscscan.com)"",""[Docs](https://docs.bscscan.com/)""]",testnet,Etherscan,"[""Transactions"",""Tokens"",""Blocks"",""Contracts"",""Gas""]","[""Verified Contracts"",""Token Approvals"",""API Access"",""Bytecode to Opcode""]",TRUE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block"",""Token"",""Contract""]",TRUE,TRUE,Free,
bsctrace-mainnet,NodeReal,,"[""[Explore](https://bsctrace.com)""]",mainnet,Custom,"[""Transactions"",""Internal Tx"",""Blocks""]","[""Detailed Call Traces"",""Geth Debug Traces"",""Fast""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash""]",TRUE,TRUE,Free,
bsctrace-testnet,NodeReal,,"[""[Explore](https://testnet.bsctrace.com/)""]",testnet,Custom,"[""Transactions"",""Internal Tx"",""Blocks""]","[""Detailed Call Traces"",""Geth Debug Traces"",""Fast""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash""]",TRUE,TRUE,Free,
dex-guru,,!offer:dex-guru,,mainnet,,,,,,,,,,,
jiffyscan-developer,,!offer:jiffyscan-developer,"[""[Explore](https://jiffyscan.xyz/pricing)""]",mainnet,,,,,,,,,,,
jiffyscan-professional,,!offer:jiffyscan-professional,"[""[Explore](https://jiffyscan.xyz/pricing)""]",mainnet,,,,,,,,,,,
jiffyscan-starter,,!offer:jiffyscan-starter,"[""[Explore](https://jiffyscan.xyz/pricing)""]",mainnet,,,,,,,,,,,
metasleuth,,!offer:metasleuth,,mainnet,,,,,,,,,,,
oklink,,!offer:oklink,,mainnet,,,,,,,,,,,
okx,,!offer:okx,,mainnet,,,,,,,,,,,
tenderly-explorer,,!offer:tenderly-explorer,,mainnet,,,,,,,,,,,
tokenterminal-explorer,,!offer:tokenterminal-explorer,"[""[Explore](https://tokenterminal.com/explorer/projects/bsc)""]",mainnet,,,,,,,,,,,
tokenview,,!offer:tokenview,,mainnet,,,,,,,,,,,
