slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
beaconchain-mainnet,,!offer:beaconchain,"[""[Explore](https://beaconcha.in/)""]",mainnet,,,,,,,,,,,
blockchair-mainnet,,!offer:blockchair,"[""[Explore](https://blockchair.com/ethereum)""]",mainnet,,,,,,,,,,,
blockcypher-mainnet,,!offer:blockcypher,"[""[Explore](https://live.blockcypher.com/eth/)""]",mainnet,,,,,,,,,,,
blockscout-mainnet,,!offer:blockscout,"[""[Explore](https://eth.blockscout.com)""]",mainnet,,,,,,,,,,,
blockscout-sepolia,,!offer:blockscout,"[""[Explore](https://eth-sepolia.blockscout.com)""]",sepolia,,,,,,,,,,,
etherscan-hoodi,,!offer:etherscan,"[""[Explore](https://hoodi.etherscan.io)""]",hoodi,,,,,,,,,,,
etherscan-mainnet,,!offer:etherscan,"[""[Explore](https://etherscan.io)""]",mainnet,,,,,,,,,,,
etherscan-sepolia,,!offer:etherscan,"[""[Explore](https://sepolia.etherscan.io)""]",sepolia,,,,,,,,,,,
ethplorer-mainnet,,!offer:ethplorer,"[""[Explore](https://ethplorer.io)""]",mainnet,,,,,,,,,,,
ethvm-mainnet,,!offer:ethvm,"[""[Explore](https://www.ethvm.com/)""]",mainnet,,,,,,,,,,,
routescan-mainnet,,!offer:routescan,,mainnet,,,,,,,,,,,
tokenterminal-explorer-mainnet,,!offer:tokenterminal-explorer,"[""[Explore](https://tokenterminal.com/explorer/projects/ethereum)""]",mainnet,,,,,,,,,,,
tokenview-mainnet,,!offer:tokenview,"[""[Explore](https://eth.tokenview.io)""]",mainnet,,,,,,,,,,,
wormholescan-mainnet,,!offer:wormholescan,"[""[Explore](https://wormholescan.io/)""]",mainnet,,,,,,,,,,,
wormholescan-testnet,,!offer:wormholescan,"[""[Explore](https://wormholescan.io/?network=TESTNET)""]",testnet,,,,,,,,,,,
