slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
beryx-calibnet,Beryx,,"[""[Explore](https://beryx.io)""]",calibnet,custom,"[""Accounts"",""Contracts"",""Gas"",""Mempool""]",,FALSE,"[""JSON-RPC""]",,"[""Height"",""Block"",""Address"",""Message ID"",""Event""]",TRUE,TRUE,Free,
beryx-mainnet,Beryx,,"[""[Explore](https://beryx.io)""]",mainnet,custom,"[""Accounts"",""Contracts"",""Gas"",""Mempool""]",,FALSE,"[""JSON-RPC""]",,"[""Height"",""Block"",""Address"",""Message ID"",""Event""]",TRUE,TRUE,Free,
blockscout-calibnet,,!offer:blockscout,"[""[Explore](https://filecoin-testnet.blockscout.com/)"",""[Docs](https://docs.blockscout.com/)""]",calibnet,,,,,,,,,,,
blockscout-mainnet,,!offer:blockscout,"[""[Explore](https://filecoin-testnet.blockscout.com/)"",""[Docs](https://docs.blockscout.com/)""]",mainnet,,,,,,,,,,,
filfox-calibnet,FilFox,,"[""[Explore](https://calibration.filfox.info/en)""]",calibnet,custom,"[""Storage Power"",""Sector Pledge"",""Gas"",""Storage Providers""]",,FALSE,"[""REST""]",,"[""Height"",""Address"",""Message ID""]",TRUE,TRUE,Free,
filfox-mainnet,FilFox,,"[""[Explore](https://filfox.info/en)""]",mainnet,custom,"[""Storage Power"",""Sector Pledge"",""Gas"",""Storage Providers""]",,FALSE,"[""REST""]",,"[""Height"",""Address"",""Message ID""]",TRUE,TRUE,Free,
filscan-calibnet,FilScan,,"[""[Explore](https://calibration.filscan.io)""]",calibnet,custom,"[""Contracts"",""Storage Power"",""Block Rewards"",""Storage Providers"",""Tokens"",""Storage Capacity""]",,FALSE,,,"[""Address"",""Message ID"",""Height"",""Block"",""Miner ID"",""FNS""]",TRUE,TRUE,Free,
filscan-mainnet,FilScan,,"[""[Explore](https://filscan.io)""]",mainnet,custom,"[""Contracts"",""Storage Power"",""Block Rewards"",""Storage Providers"",""Tokens"",""Storage Capacity""]",,FALSE,,,"[""Address"",""Message ID"",""Height"",""Block"",""Miner ID"",""FNS""]",TRUE,TRUE,Free,
starboard-mainnet,Starboard,,"[""[Dashboard](https://dashboard.starboard.ventures/explorer)""]",mainnet,custom,"[""DeFI Deposits /Borrows"",""Storage Capacity"",""Data Utilization Rate"",""Active Miners"",""Capacity Added"",""Sector Onboarding"",""Sectors Expiration"",""Capacity Terminated"",""Storage Power Added"",""Sectors Added"",""Faults"",""Retrieval Success Rate"",""Block Rewards"",""Commit Pledge"",""Active Deals"",""Deal Duration"",""Deal Size"",""Deal Collateral"",""Datacap Usage"",""Network Fee"",""Sealing cost"",""Deal Publication Cost"",""Contract Invocation Cost"",""Gas Usage"",""Circulating Supply"",""Contracts"", ""Transactions"",""Active Users"",""Accounts"",""Miner Revenue""]",,FALSE,,,"[""Contract"",""Message ID""]",TRUE,FALSE,Free,
wormholescan-mainnet,,!offer:wormholescan,"[""[Explore](https://wormholescan.io/)""]",mainnet,,,,,,,,,,,
wormholescan-testnet,,!offer:wormholescan,"[""[Explore](https://wormholescan.io/?network=TESTNET)""]",testnet,,,,,,,,,,,
