slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
flareexplorer-coston,Flare Network,,"[""[Explore](https://coston-explorer.flare.network/)""]",coston,Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""C-Chain Support"",""P-Chain Support"",""Token Tracker"",""Network Metrics""]",FALSE,"[""REST"",""GraphQL"",""JSON-RPC""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,
flareexplorer-coston2,Flare Network,,"[""[Explore](https://coston2-explorer.flare.network/)""]",coston2,Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""C-Chain Support"",""P-Chain Support"",""Token Tracker"",""Network Metrics""]",FALSE,"[""REST"",""GraphQL"",""JSON-RPC""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,
flareexplorer-mainnet,Flare Network,,"[""[Explore](https://flare-explorer.flare.network/)""]",mainnet,Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""C-Chain Support"",""P-Chain Support"",""Token Tracker"",""Network Metrics""]",TRUE,"[""REST"",""GraphQL"",""JSON-RPC""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,
flareexplorer-songbird,Flare Network,,"[""[Explore](https://songbird-explorer.flare.network/)""]",songbird,Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""C-Chain Support"",""P-Chain Support"",""Token Tracker"",""Network Metrics""]",FALSE,"[""REST"",""GraphQL"",""JSON-RPC""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,
flarescan-coston,Avascan,,"[""[Explore](https://coston.testnet.flarescan.com/)""]",coston,Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""C-Chain Support"",""P-Chain Support"",""Token Tracker"",""Network Metrics""]",FALSE,"[""REST"",""GraphQL""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,
flarescan-coston2,Avascan,,"[""[Explore](https://coston2.testnet.flarescan.com/)""]",coston2,Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""C-Chain Support"",""P-Chain Support"",""Token Tracker"",""Network Metrics""]",FALSE,"[""REST"",""GraphQL""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,
flarescan-mainnet,Avascan,,"[""[Explore](https://mainnet.flarescan.com/)""]",mainnet,Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""C-Chain Support"",""P-Chain Support"",""Token Tracker"",""Network Metrics""]",TRUE,"[""REST"",""GraphQL""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,
flarescan-songbird,Avascan,,"[""[Explore](https://songbird.flarescan.com/)""]",songbird,Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""C-Chain Support"",""P-Chain Support"",""Token Tracker"",""Network Metrics""]",FALSE,"[""REST"",""GraphQL""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,
flaresystems-mainnet,Flare Systems,,"[""[Explore](https://flare-systems-explorer.flare.network/)""]",mainnet,Custom,"[""FTSO Data"",""Staking Rewards"",""Epoch Status""]","[""FTSO Monitoring"",""Delegation Tracking""]",TRUE,"[""REST""]","[""TypeScript""]","[""Address"",""Epoch"",""Provider""]",FALSE,FALSE,Free,
flaresystems-songbird,Flare Systems,,"[""[Explore](https://songbird-systems-explorer.flare.network/)""]",songbird,Custom,"[""FTSO Data"",""Staking Rewards"",""Epoch Status""]","[""FTSO Monitoring"",""Delegation Tracking""]",FALSE,"[""REST""]","[""TypeScript""]","[""Address"",""Epoch"",""Provider""]",FALSE,FALSE,Free,
