slug,provider,offer,actionButtons,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
3xpl,3xpl,,"[""[Explore](https://3xpl.com/)""]",Custom,"[""Transactions"",""Blocks""]","[""Ad-free"",""Ultra-fast""]",FALSE,"[""JSON API""]",,"[""Address"",""Tx""]",FALSE,TRUE,Free,
arbiscan,Etherscan,,,Etherscan,"[""Transactions"",""Address Activity"",""Token transfers"",""Blocks""]","[""VMTrace"",""Verified Contracts"",""API Access""]",FALSE,"[""REST API""]",,"[""Search"",""Filter"",""Label Cloud""]",TRUE,TRUE,Free,
arkham,Arkham,,"[""[Explore](https://intel.arkm.com/)"",""[Docs](https://codex.arkm.com/)""]",Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Entity Labeling"",""Relationship Graphs"",""De-anonymization"",""Portfolio Tracking""]",FALSE,"[""REST API""]","[""Python"",""TypeScript""]","[""Address"",""Entity"",""Transaction Hash"",""Token""]",FALSE,TRUE,Partially paid,
beaconchain,Beaconcha.in,,,Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Gas Tracker"",""Stats"",""Charts""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block""]",FALSE,TRUE,Free,
berascan,Berachain,BeraScan,"[""[Explore](https://berascan.com/)"",""[Docs](https://docs.berachain.com/general/introduction/connect-to-berachain)""]",Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts"",""Blocks""]",,FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,
bitquery,Bitquery,,"[""[Explore](https://explorer.bitquery.io/)""]",Custom,"[""Complex Queries"",""DEX Trades"",""Money Flow""]","[""GraphQL Interface"",""Data Mining""]",FALSE,"[""GraphQL""]",,"[""Custom Queries""]",FALSE,TRUE,Free,
blockchair,Blockchair,,,Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Multi-Chain Search"",""PDF Reports""]",FALSE,"[""REST API""]","[""Python"",""Node.js""]","[""Address"",""Transaction Hash"",""Block""]",FALSE,TRUE,Free,
blockcypher,BlockCypher,,"[""[Explore](https://live.blockcypher.com/)""]",Custom,"[""Accounts"",""Transactions"",""Blocks""]","[""WebHooks"",""Payment Forwarding"",""Confidence Lookups""]",FALSE,"[""REST API"",""WebSockets""]","[""Go"",""Python"",""Ruby""]","[""Address"",""Tx"",""Block""]",FALSE,TRUE,Free,
blockexplorer-one,Blockexplorer.one,,"[""[Explore](https://blockexplorer.one/)""]",Custom,"[""Transactions"",""Blocks""]","[""Multi-chain UI""]",FALSE,"[""REST API""]",,"[""Address"",""Tx"",""Block""]",FALSE,TRUE,Free,
blockscout,Blockscout,,,Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts"",""Logs"",""Events""]","[""Token Tracker"", ""Network Metrics"",""NFT Tracking""]",FALSE,"[""REST API"", ""GraphQL"", ""RPC API"", ""Eth RPC API"",""JSON-RPC""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token"",""Message ID"",""Height""]",TRUE,TRUE,Free,
